

Curve Name:
  !PHBH_10 layer
Curve Values:
       Index           t          Ts          Tr       Value
                     [s]        [�C]        [�C]         [%]
        3210        3210       554.2         560     4.43358
        3216        3216      555.18         561     4.43367
        3222        3222     556.171         562     4.43367
        3228        3228     557.148         563     4.43367
        3234        3234     558.134         564     4.43367
        3240        3240     559.103         565     4.43367
        3246        3246     560.081         566     4.43453
        3252        3252     561.073         567     4.43485
        3258        3258     562.045         568     4.43594
        3264        3264      563.03         569     4.44087
        3270        3270     564.014         570     4.44305
        3276        3276     564.988         571     4.44315
        3282        3282     565.972         572     4.44317
        3288        3288     566.956         573     4.44317
        3294        3294     567.935         574     4.44317
        3300        3300      568.91         575     4.44317
        3306        3306     569.903         576     4.44539
        3312        3312     570.867         577     4.45028
        3318        3318     571.848         578     4.44564
        3324        3324     572.825         579     4.44539
        3330        3330     573.808         580     4.45113
        3336        3336     574.778         581     4.45256
        3342        3342     575.761         582     4.45266
        3348        3348     576.737         583     4.45266
        3354        3354     577.713         584     4.45266
        3360        3360     578.694         585     4.45266
        3366        3366     579.666         586     4.45266
        3372        3372     580.646         587     4.45266
        3378        3378     581.625         588     4.45266
        3384        3384     582.599         589     4.45266
        3390        3390     583.574         590     4.45826
        3396        3396     584.542         591      4.4577
        3402        3402     585.525         592     4.45964
        3408        3408     586.506         593     4.45954
        3414        3414     587.488         594     4.45969
        3420        3420     588.465         595     4.46145
        3426        3426      589.44         596     4.46211
        3432        3432     590.413         597     4.46215
        3438        3438     591.389         598     4.46215
        3444        3444     592.365         599     4.46242
        3450        3450     593.342         600     4.46872
        3456        3456     594.319         601     4.46671
        3462        3462     595.293         602     4.46557
        3468        3468     596.264         603     4.46462
        3474        3474     597.245         604     4.46678
        3480        3480     598.216         605     4.46621
        3486        3486     599.194         606     4.47118
        3492        3492     600.165         607     4.47161
        3498        3498     601.148         608     4.47165
        3504        3504     602.115         609     4.47165
        3510        3510      603.09         610      4.4727
        3516        3516     604.065         611     4.47544
        3522        3522     605.036         612       4.472
        3528        3528     606.017         613     4.47194
        3534        3534     606.989         614     4.47416
        3540        3540     607.959         615     4.47188
        3546        3546     608.946         616     4.47617
        3552        3552     609.908         617     4.47487
        3558        3558     610.881         618      4.4795
        3564        3564     611.858         619     4.48078
        3570        3570     612.835         620     4.47862
        3576        3576     613.808         621     4.48091
        3582        3582      614.78         622     4.48112
        3588        3588     615.754         623     4.48114
        3594        3594     616.725         624     4.48114
        3600        3600     617.702         625      4.4831
        3606        3606     618.668         626     4.48269
        3612        3612     619.645         627     4.48126
        3618        3618      620.61         628     4.48115
        3624        3624     621.586         629     4.48141
        3630        3630     622.558         630     4.48771
        3636        3636      623.53         631     4.48655
        3642        3642      624.51         632     4.48953
        3648        3648      625.48         633     4.48513
        3654        3654     626.448         634     4.48473
        3660        3660     627.423         635     4.48966
        3666        3666     628.391         636     4.49064
        3672        3672     629.355         637     4.49063
        3678        3678     630.338         638     4.49064
        3684        3684     631.299         639     4.49064
        3690        3690     632.277         640     4.49064
        3696        3696      633.24         641     4.49064
        3702        3702     634.212         642      4.4938
        3708        3708     635.184         643     4.49816
        3714        3714     636.148         644     4.49628
        3720        3720     637.122         645     4.49978
        3726        3726     638.093         646      4.5001
        3732        3732      639.07         647     4.50013
        3738        3738     640.037         648     4.50013
        3744        3744     641.005         649     4.50013
        3750        3750      641.97         650     4.50013
        3756        3756     642.946         651     4.50013
        3762        3762     643.919         652     4.50137
        3768        3768     644.888         653     4.50227
        3774        3774     645.846         654     4.50247
        3780        3780     646.813         655     4.50025
        3786        3786     647.777         656     4.49987
        3792        3792     648.751         657     4.49896
        3798        3798     649.721         658     4.50007
        3804        3804     650.679         659     4.50013
        3810        3810     651.652         660     4.50119
        3816        3816     652.617         661     4.50745
        3822        3822     653.581         662     4.50948
        3828        3828     654.548         663     4.50962
        3834        3834     655.519         664     4.50962
        3840        3840     656.485         665     4.50962
        3846        3846     657.449         666     4.50962
        3852        3852     658.425         667     4.50962
        3858        3858      659.39         668     4.50962
        3864        3864     660.356         669     4.50962
        3870        3870     661.322         670     4.50962
        3876        3876     662.288         671     4.50962
        3882        3882     663.256         672     4.50962
        3888        3888     664.225         673     4.50962
        3894        3894     665.184         674     4.50962
        3900        3900     666.148         675     4.51279
        3906        3906     667.119         676     4.51343
        3912        3912     668.076         677     4.51325
        3918        3918     669.041         678     4.51865
        3924        3924     670.012         679     4.51908
        3930        3930     670.973         680     4.51707
        3936        3936     671.943         681     4.51783
        3942        3942     672.911         682      4.5165
        3948        3948     673.873         683     4.51856
        3954        3954     674.842         684     4.51912
        3960        3960     675.809         685     4.51912
        3966        3966     676.759         686     4.51912
        3972        3972      677.73         687     4.51912
        3978        3978     678.692         688     4.51912
        3984        3984     679.657         689     4.51912
        3990        3990     680.626         690     4.51912
        3996        3996     681.584         691     4.51912
        4002        4002     682.543         692     4.51912
        4008        4008      683.51         693     4.51912
        4014        4014     684.474         694     4.51912
        4020        4020     685.442         695     4.51912
