

Curve Name:
  !PHBH_powder
Curve Values:
       Index           t          Ts          Tr       Value
                     [s]        [°C]        [°C]         [%]
           0           0     32,2597          25         100
        3444        3444     592,487         599     1,56187
        3450        3450     593,458         600     1,56266
        3456        3456     594,437         601     1,56216
        3462        3462     595,413         602     1,56212
        3468        3468     596,396         603     1,56383
        3474        3474     597,358         604      1,5654
        3480        3480     598,336         605     1,56462
        3486        3486     599,311         606     1,56441
        3492        3492      600,29         607     1,56441
        3498        3498     601,259         608     1,56441
        3504        3504     602,234         609     1,56441
        3510        3510      603,21         610     1,56441
        3516        3516     604,182         611     1,56441
        3522        3522     605,164         612     1,56441
        3528        3528     606,131         613     1,56441
        3534        3534     607,099         614     1,56472
        3540        3540     608,065         615     1,56644
        3546        3546     609,037         616     1,56623
        3552        3552      610,02         617     1,56688
        3558        3558     610,991         618     1,56702
        3564        3564     611,958         619     1,56702
        3570        3570     612,934         620     1,56702
        3576        3576     613,906         621     1,56702
        3582        3582     614,881         622     1,56702
        3588        3588      615,85         623      1,5679
        3594        3594     616,819         624     1,56877
        3600        3600     617,794         625     1,56736
        3606        3606     618,771         626     1,56735
        3612        3612     619,741         627     1,56906
        3618        3618     620,714         628     1,56959
        3624        3624      621,69         629     1,56964
        3630        3630     622,665         630     1,56964
        3636        3636     623,631         631     1,56964
        3642        3642       624,6         632     1,56964
        3648        3648     625,575         633     1,56935
        3654        3654     626,539         634     1,56962
        3660        3660     627,515         635     1,56964
        3666        3666     628,483         636     1,56964
        3672        3672     629,445         637     1,56964
        3678        3678     630,418         638     1,56964
        3684        3684     631,388         639     1,56964
        3690        3690     632,357         640     1,56964
        3696        3696     633,331         641     1,57051
        3702        3702     634,298         642     1,57226
        3708        3708     635,271         643     1,57153
        3714        3714     636,243         644     1,57212
        3720        3720     637,213         645     1,57226
        3726        3726     638,175         646     1,57226
        3732        3732     639,139         647     1,57226
        3738        3738     640,105         648     1,57226
        3744        3744     641,072         649     1,57226
        3750        3750     642,036         650     1,57226
        3756        3756      643,01         651     1,57226
        3762        3762     643,981         652     1,57226
        3768        3768     644,942         653     1,57233
        3774        3774     645,915         654     1,57342
        3780        3780     646,882         655     1,57255
        3786        3786     647,847         656     1,57227
        3792        3792     648,816         657     1,57342
        3798        3798     649,786         658      1,5738
        3804        3804      650,75         659     1,57459
        3810        3810      651,72         660     1,57371
        3816        3816     652,682         661     1,57458
        3822        3822     653,641         662     1,57486
        3828        3828     654,611         663     1,57487
        3834        3834     655,578         664     1,57487
        3840        3840     656,551         665     1,57487
        3846        3846      657,52         666     1,57487
        3852        3852     658,475         667     1,57487
        3858        3858     659,446         668     1,57487
        3864        3864     660,406         669     1,57487
        3870        3870     661,367         670     1,57515
        3876        3876     662,333         671     1,57494
        3882        3882     663,298         672     1,57487
        3888        3888     664,267         673     1,57518
        3894        3894     665,233         674     1,57705
        3900        3900     666,201         675     1,57574
        3906        3906     667,162         676     1,57495
        3912        3912     668,126         677     1,57642
        3918        3918     669,095         678     1,57633
        3924        3924     670,054         679     1,57667
        3930        3930     671,019         680      1,5774
        3936        3936     671,978         681     1,57749
        3942        3942     672,955         682     1,57749
        3948        3948      673,91         683     1,57749
        3954        3954     674,879         684     1,57749
        3960        3960      675,85         685     1,57749
        3966        3966     676,805         686     1,57749
        3972        3972     677,767         687     1,57749
        3978        3978     678,734         688     1,57749
        3984        3984     679,701         689     1,57749
        3990        3990     680,661         690     1,57749
        3996        3996     681,621         691     1,57823
        4002        4002     682,585         692     1,57763
        4008        4008      683,56         693     1,57749
        4014        4014     684,506         694     1,57912
        4020        4020     685,477         695     1,58001
        4026        4026     686,438         696     1,58011
        4032        4032     687,398         697     1,57868
        4038        4038     688,356         698     1,57982
        4044        4044     689,323         699     1,57981
        4050        4050     690,276         700     1,57998
        4056        4056     691,243         701     1,57954
        4062        4062     692,209         702     1,57952
        4068        4068     693,168         703     1,58006
        4074        4074     694,131         704     1,58041
        4080        4080     695,088         705     1,58127
        4086        4086     696,054         706      1,5803
        4092        4092     697,009         707     1,58011
        4098        4098     697,981         708     1,58011
        4104        4104     698,939         709     1,58011
        4110        4110     699,897         710     1,58011
        4116        4116     700,863         711     1,58011
        4122        4122     701,822         712     1,58011
        4128        4128     702,786         713     1,58011
        4134        4134     703,743         714     1,58011
        4140        4140     704,704         715     1,58018
        4146        4146     705,671         716     1,58141
        4152        4152     706,632         717      1,5804
        4158        4158      707,59         718     1,58104
        4164        4164     708,545         719     1,58249
        4170        4170     709,499         720     1,58272
        4176        4176     710,462         721     1,58146
        4182        4182     711,423         722     1,58181
        4188        4188     712,374         723     1,58272
        4194        4194     713,344         724     1,58146
        4200        4200     714,301         725     1,58114
        4206        4206     715,265         726      1,5833
        4212        4212     716,228         727     1,58265
        4218        4218     717,186         728     1,58266
        4224        4224     718,141         729     1,58272
        4230        4230     719,098         730     1,58272
        4236        4236      720,06         731     1,58272
        4242        4242     721,024         732     1,58272
        4248        4248     721,977         733     1,58272
        4254        4254      722,93         734     1,58272
        4260        4260     723,892         735     1,58243
        4266        4266     724,846         736      1,5827
        4272        4272     725,802         737     1,58272
        4278        4278     726,757         738     1,58272
        4284        4284     727,723         739     1,58272
        4290        4290     728,673         740     1,58272
        4296        4296     729,634         741     1,58272
        4302        4302     730,589         742     1,58435
        4308        4308     731,547         743     1,58524
        4314        4314     732,503         744     1,58447
        4320        4320      733,46         745     1,58507
        4326        4326     734,413         746     1,58502
        4332        4332     735,371         747     1,58359
        4338        4338     736,329         748     1,58459
        4344        4344     737,295         749     1,58395
        4350        4350     738,246         750     1,58534
        4356        4356     739,209         751     1,58533
        4362        4362     740,162         752     1,58387
        4368        4368     741,119         753     1,58447
        4374        4374     742,073         754     1,58526
        4380        4380     743,031         755      1,5841
        4386        4386     743,989         756     1,58476
        4392        4392     744,933         757     1,58521
        4398        4398     745,896         758     1,58403
        4404        4404     746,851         759     1,58505
        4410        4410     747,807         760     1,58531
        4416        4416     748,759         761     1,58534
        4422        4422     749,712         762     1,58534
        4428        4428     750,664         763     1,58534
        4434        4434     751,624         764     1,58534
        4440        4440     752,579         765     1,58534
        4446        4446     753,533         766     1,58534
        4452        4452     754,482         767     1,58534
        4458        4458     755,435         768     1,58534
        4464        4464     756,385         769     1,58534
        4470        4470     757,338         770     1,58534
        4476        4476     758,293         771     1,58534
        4482        4482     759,238         772     1,58534
        4488        4488     760,198         773     1,58534
        4494        4494     761,151         774     1,58534
        4500        4500     762,102         775     1,58567
        4506        4506     763,055         776     1,58541
        4512        4512     764,006         777     1,58534
        4518        4518     764,953         778     1,58534
        4524        4524     765,911         779     1,58534
        4530        4530     766,867         780     1,58534
        4536        4536     767,823         781     1,58534
        4542        4542     768,767         782     1,58534
        4548        4548     769,717         783     1,58563
        4554        4554     770,665         784     1,58746
        4560        4560     771,619         785     1,58639
        4566        4566     772,562         786     1,58563
        4572        4572     773,516         787     1,58686
        4578        4578     774,461         788      1,5866
        4584        4584     775,417         789     1,58592
        4590        4590     776,369         790     1,58559
        4596        4596     777,311         791     1,58648
        4602        4602     778,262         792     1,58737
        4608        4608     779,217         793     1,58648
        4614        4614     780,161         794      1,5868
        4620        4620     781,117         795     1,58534
        4626        4626     782,065         796     1,58661
        4632        4632     783,022         797     1,58772
        4638        4638     783,961         798     1,58621
        4644        4644     784,904         799     1,58542
        4650        4650     785,858         800     1,58621
        4656        4656      786,81         801     1,58766
        4662        4662     787,758         802     1,58582
        4668        4668     788,704         803     1,58603
        4674        4674      789,65         804     1,58563
        4680        4680     790,603         805     1,58604
        4686        4686     791,548         806     1,58678
        4692        4692     792,487         807     1,58563
        4698        4698      793,44         808     1,58687
        4704        4704     794,389         809      1,5866
        4710        4710     795,332         810     1,58534
