                                                                21.09.2022 12:04
________________________________________________________________________________



Curve Name:
  !$PHBH pAG
Curve Values:
          Index             Ts          Value
                          [°C]        [Wg^-1]
              0            -50   -0,000972868
            776        -35,339      -0,113343
            777       -35,2557      -0,113267
            778       -35,1724      -0,113031
            779        -35,089      -0,112676
            780       -35,0057      -0,112362
            781       -34,9223      -0,111965
            782        -34,839       -0,11132
            783       -34,7557      -0,111558
            784       -34,6724      -0,111608
            785        -34,589      -0,111247
            786       -34,5057      -0,110781
            787       -34,4223      -0,110303
            788        -34,339      -0,109882
            789       -34,2557      -0,109977
            790       -34,1724      -0,110109
            791       -34,0891      -0,109984
            792       -34,0057      -0,109726
            793       -33,9224      -0,109479
            794       -33,8391       -0,10925
            795       -33,7557      -0,109227
            796       -33,6724      -0,108677
            797       -33,5891      -0,108598
            798       -33,5057      -0,108269
            799       -33,4224      -0,107875
            800        -33,339      -0,107478
            801       -33,2557      -0,107174
            802       -33,1724      -0,106961
            803        -33,089      -0,106804
            804       -33,0057      -0,106237
            805       -32,9224      -0,106033
            806        -32,839      -0,105879
            807       -32,7557      -0,106105
            808       -32,6724      -0,105993
            809       -32,5891       -0,10572
            810       -32,5057      -0,105315
            811       -32,4224      -0,105134
            812       -32,3391      -0,105079
            813       -32,2557      -0,104943
            814       -32,1724        -0,1048
            815       -32,0891      -0,104614
            816       -32,0058      -0,104428
            817       -31,9224      -0,104261
            818       -31,8391      -0,104183
            819       -31,7558      -0,104207
            820       -31,6724      -0,103239
            821       -31,5891      -0,102694
            822       -31,5057      -0,102503
            823       -31,4224      -0,102179
            824       -31,3391      -0,101917
            825       -31,2557      -0,101981
            826       -31,1724      -0,101893
            827       -31,0891      -0,101725
            828       -31,0057      -0,101447
            829       -30,9224      -0,101203
            830       -30,8391      -0,100919
            831       -30,7557      -0,100611
            832       -30,6724      -0,100654
            833       -30,5891       -0,10057
            834       -30,5058      -0,100356
            835       -30,4224      -0,100132
            836       -30,3391     -0,0998537
            837       -30,2558     -0,0996416
            838       -30,1724     -0,0993629
            839       -30,0891     -0,0988783
            840       -30,0058     -0,0988817
            841       -29,9224     -0,0987937
            842       -29,8391     -0,0986503
            843       -29,7558     -0,0984757
            844       -29,6724     -0,0983481
            845       -29,5891     -0,0980029
            846       -29,5058     -0,0976018
            847       -29,4224     -0,0971906
            848       -29,3391     -0,0969265
            849       -29,2557     -0,0968712
            850       -29,1724     -0,0970547
            851       -29,0891     -0,0971172
            852       -29,0058       -0,09666
            853       -28,9224     -0,0965153
            854       -28,8391     -0,0963951
            855       -28,7558      -0,096204
            856       -28,6724     -0,0960344
            857       -28,5891     -0,0958474
            858       -28,5058     -0,0956682
            859       -28,4225     -0,0954873
            860       -28,3391     -0,0953043
            861       -28,2558     -0,0949693
            862       -28,1724     -0,0947014
            863       -28,0891     -0,0945878
            864       -28,0058      -0,094301
            865       -27,9225     -0,0943228
            866       -27,8391     -0,0941367
            867       -27,7558     -0,0940159
            868       -27,6724     -0,0935744
